Category,Variable Name Prefix,Variable Description,Definition,Universe,Limitations,Note,Source,Data as of,Numerator Tables,Denominator Tables
Education,_mpass10,% Children proficient in math (Grade 4),Percent of Grade 4 students who are proficient in math,Grade 4 students who took the math test,Cleveland Metropolitan School District students only. Data is not available for Cuyahoga County,"In the 2014-15 School Year, Partnership for Assessment of Readiness for College and Careers (PARCC) tests replaced the Ohio Achievement Assessments (OAA).  PARCC testing will not be continued.  It will be replaced by American Institutes of Research (AIR) tests in the 2015-16 school year.  Since PARCC passage rates cannot be compared with OAA passage rates in the previous years and the AIR passage rates in the forthcoming years, proficiency data for Grades 3, 4 and 6 will not be updated this year.",Cleveland Metropolitan School District (CMSD),"May 29, 2014",,
Education,mpass20,Children proficient in math (Grade 6),Number of Grade 6 students who are proficient in math,Grade 6 students who took the math test,Cleveland Metropolitan School District students only. Data is not available for Cuyahoga County,"In the 2014-15 School Year, Partnership for Assessment of Readiness for College and Careers (PARCC) tests replaced the Ohio Achievement Assessments (OAA).  PARCC testing will not be continued.  It will be replaced by American Institutes of Research (AIR) tests in the 2015-16 school year.  Since PARCC passage rates cannot be compared with OAA passage rates in the previous years and the AIR passage rates in the forthcoming years, proficiency data for Grades 3, 4 and 6 will not be updated this year.",Cleveland Metropolitan School District (CMSD),"May 29, 2014",,
Education,_mpass20,% Children proficient in math (Grade 6),Percent of Grade 6 students who are proficient in math,Grade 6 students who took the math test,Cleveland Metropolitan School District students only. Data is not available for Cuyahoga County,"In the 2014-15 School Year, Partnership for Assessment of Readiness for College and Careers (PARCC) tests replaced the Ohio Achievement Assessments (OAA).  PARCC testing will not be continued.  It will be replaced by American Institutes of Research (AIR) tests in the 2015-16 school year.  Since PARCC passage rates cannot be compared with OAA passage rates in the previous years and the AIR passage rates in the forthcoming years, proficiency data for Grades 3, 4 and 6 will not be updated this year.",Cleveland Metropolitan School District (CMSD),"May 29, 2014",,
Education,mpass41,Children proficient in math (Grade 10),Number of Grade 10 students who are proficient in math,Grade 10 students who took the math test,Cleveland Metropolitan School District students only. Data is not available for Cuyahoga County,,Cleveland Metropolitan School District (CMSD),"May 22, 2015",,
Education,_mpass41,% Children proficient in math (Grade 10),Percent of Grade 10 students who are proficient in math,Grade 10 students who took the math test,Cleveland Metropolitan School District students only. Data is not available for Cuyahoga County,,Cleveland Metropolitan School District (CMSD),"May 22, 2015",,
Education,band1,Kindergarten Readiness Assessment Level (KRA-L) - Band 1,"Number of students in Band 1 (scored 0-13 points prior to 2014-15 school year, scored 1-16 points for new KRA)",Kindergarten students who took the KRA-L test ,Data is not available for Cuyahoga County,,Cleveland Metropolitan School District (CMSD),"May 22, 2015",,
Education,pctband1,% Kindergarten Readiness Assessment Level (KRA-L) - Band 1,"Percent of students in Band 1 (scored 0-13 points prior to 2014-15 school year, scored 1-16 points for new KRA)",Kindergarten students who took the KRA-L test ,Data is not available for Cuyahoga County,,Cleveland Metropolitan School District (CMSD),"May 22, 2015",,
Education,band2,Kindergarten Readiness Assessment Level (KRA-L) - Band 2,"Number of students in Band 2 (scored 14-23 points prior to 2014-15 school year, scored 17-29 points for new KRA)",Kindergarten students who took the KRA-L test ,Data is not available for Cuyahoga County,,Cleveland Metropolitan School District (CMSD),"May 22, 2015",,
Education,pctband2,% Kindergarten Readiness Assessment Level (KRA-L) - Band 2,"Percent of students in Band 2 (scored 14-23 points prior to 2014-15 school year, scored 17-29 points for new KRA)",Kindergarten students who took the KRA-L test ,Data is not available for Cuyahoga County,,Cleveland Metropolitan School District (CMSD),"May 22, 2015",,
Education,band3,Kindergarten Readiness Assessment Level (KRA-L) - Band 3,"Number of students in Band 3 (scored 24-29 points prior to 2014-15 school year, scored 30-39 points for new KRA)",Kindergarten students who took the KRA-L test ,Data is not available for Cuyahoga County,,Cleveland Metropolitan School District (CMSD),"May 22, 2015",,
Education,pctband3,% Kindergarten Readiness Assessment Level (KRA-L) - Band 3,"Percent of students in Band 3 (scored 24-29 points prior to 2014-15 school year, scored 30-39 points for new KRA)",Kindergarten students who took the KRA-L test ,Data is not available for Cuyahoga County,,Cleveland Metropolitan School District (CMSD),"May 22, 2015",,
Education,meanscore,Kindergarten Readiness Assessment Level (KRA-L) - Mean Score,Average KRA-L score,Kindergarten students who took the KRA-L test ,Data is not available for Cuyahoga County,,Cleveland Metropolitan School District (CMSD),"May 22, 2015",,
Education,,Number of quality pre-school slots,Number of quality pre-school slots,,Data is not available for Cuyahoga County,"Number of preschool slots (ages 3-5) in high quality programs, including Step Up to Quality, Gold Seal Family Child Care Homes, and Universal Pre-Kindergarten (UPK).  ",Cleveland Metropolitan School District (CMSD),"December 31, 2015",,
Education,,HS graduation rates,High school graduation rate,Graduating class provided by CMSD,Data is not available for Cuyahoga County,,Cleveland Metropolitan School District (CMSD),"May 22, 2015",,
Education,,Attendance,Attendance rate,,Data is not available for Cuyahoga County,Attendance rate is calculated as: (Number of school days attended / Total number of valid school days) X 100,Cleveland Metropolitan School District (CMSD),"May 22, 2015",,
Workforce,emp,Employment,Count of population age 16+ who were employed,Civilian labor force age 16+,,,U.S. Census Bureau,"December 31, 2015","2000:  P043
2010-2014:  B23025",
Workforce,_emp,Employment rate,Percent of population age 16+ who were employed,Civilian labor force age 16+,,,U.S. Census Bureau,"December 31, 2015",,"2000:  P043
2010-2014:  B23025"
Workforce,lf,Labor force participation,Count of population age 16+ in the labor force (Includes members of the armed forces).,Population age 16+,,,U.S. Census Bureau,"December 31, 2015","2000:  P043
2010-2014:  B23025",
Workforce,_lf,Labor force participation rate,Percent of population age 16+ in the labor force (Includes members of the armed forces).,Population age 16+,,,U.S. Census Bureau,"December 31, 2015","2000:  P043
2010-2014:  B23025","2000:  P043
2010-2014:  B23025"
Workforce,hsls9,Less than 9th grade,Count of the population age 25+ who have less than 9th grade of education,Population age 25+,,,U.S. Census Bureau,"December 31, 2015","2000:  P037
2010-2014:  B15002",
Workforce,_hsls9,% of population less than 9th grade,Percent of the population age 25+ who have less than 9th grade of education,Population age 25+,,,U.S. Census Bureau,"December 31, 2015","2000:  P037
2010-2014:  B15002","2000:  P037
2010-2014:  B15002"
Workforce,hs9to12,"9th to 12th grade, no diploma",Count of the population age 25+ who have 9th to 12th grade of education  (no high school diploma),Population age 25+,,,U.S. Census Bureau,"December 31, 2015","2000:  P037
2010-2014:  B15002",
Workforce,_hs9to12,"% of population 9th to 12th grade, no diploma",Percent of the population age 25+ who have 9th to 12th grade of education (no high school diploma),Population age 25+,,,U.S. Census Bureau,"December 31, 2015","2000:  P037
2010-2014:  B15002","2000:  P037
2010-2014:  B15002"
Workforce,hsgrad,High school graduate (includes equivalency),Count of the population age 25+ who have attained a high school degree or obtained high school equivalency.,Population age 25+,,,U.S. Census Bureau,"December 31, 2015","2000:  P037
2010-2014:  B15002",
Workforce,_hsgrad,% of population high school graduate,Percent of the population age 25+ who have attained a high school degree or obtained high school equivalency.,Population age 25+,,,U.S. Census Bureau,"December 31, 2015","2000:  P037
2010-2014:  B15002","2000:  P037
2010-2014:  B15002"
Workforce,somecoll,"Some college, no degree",Count of the population age 25+ who have some college education but do not have a college degree.,Population age 25+,,,U.S. Census Bureau,"December 31, 2015","2000:  P037
2010-2014:  B15002",
Workforce,_somecoll,% of population some college,Percent of the population age 25+ who have some college education but do not have a college degree.,Population age 25+,,,U.S. Census Bureau,"December 31, 2015","2000:  P037
2010-2014:  B15002","2000:  P037
2010-2014:  B15002"
Workforce,assoc,Associate's Degree,Count of the population age 25+ who have obtained an associate degree,Population age 25+,,,U.S. Census Bureau,"December 31, 2015","2000:  P037
2010-2014:  B15002",
Workforce,_assoc,% of associate's degree,Percent of the population age 25+ who have obtained an associate degree,Population age 25+,,,U.S. Census Bureau,"December 31, 2015","2000:  P037
2010-2014:  B15002","2000:  P037
2010-2014:  B15002"
Workforce,bs,Bachelor's Degree,Count of the population age 25+ who have obtained a bachelor's degree,Population age 25+,,,U.S. Census Bureau,"December 31, 2015","2000:  P037
2010-2014:  B15002",
Workforce,_bs,% of bachelor's degree,Percent of the population age 25+ who have obtained a bachelor's degree,Population age 25+,,,U.S. Census Bureau,"December 31, 2015","2000:  P037
2010-2014:  B15002","2000:  P037
2010-2014:  B15002"
Workforce,prof,Graduate or professional degree,Count of the population age 25+ who have obtained a graduate or professional degree,Population age 25+,,,U.S. Census Bureau,"December 31, 2015","2000:  P037
2010-2014:  B15002",
Workforce,_prof,% of grad or professional degree,Percent of the population age 25+ who have obtained a graduate or professional degree,Population age 25+,,,U.S. Census Bureau,"December 31, 2015","2000:  P037
2010-2014:  B15002","2000:  P037
2010-2014:  B15002"
Economy,alljobs,Jobs in neighborhood,Jobs in neighborhood,,,,Longitudinal Employer-Household Dynamics,"December 31, 2013",,
Economy,_bus_occ,% Commercial occupancy,Percent of commercial occupancy,Total commercial addresses,,,HUD / USPS,"December 31, 2015",,
Health,mort_rate2009,Mortality rate,"Total deaths per 1,000 population (2009-2013 Five-year average) ",Total population (2009-2013 Five-year average),,Death provided by Ohio Department of Health.  This should not be considered an endorsement of this study or these conclusions by the ODH.,Ohio Department of Health and U.S. Census Bureau,2009-2013:  B01001
Health,infmort_rate2009,Infant mortality rate,"Infant deaths within the first year of life per 1,000 live births (2009-2013 Five-year average) ",Total births (2009-2013 Five-year average),,Death and birth data provided by Ohio Department of Health.  This should not be considered an endorsement of this study or these conclusions by the ODH.,Ohio Department of Health,
Health,le2009,Life Expectancy,The average time a person at birth is expected to live (in year),,,Life expectancy is calculated using the Life Expectancy Calculator created by Daniel Eayres published in the South East Public Health Observatory (SEPHO) website.,Life Expectancy Calculator by Daniel Eayres,
Health,_ebll_c,Blood Lead Levels,Percent of children under age 6 with elevated blood lead levels (confirmed tests with 5ug/dl or above) from 2010 to 2014 (Five-year average),All children under age 6 who were tested from 2010 to 2014 (Five-year average),,Lead data provided by Ohio Department of Health (ODH).  This should not be considered an endorsement of this study or these conclusions by the ODH.,Ohio Department of Health,
